record_id,timestamp,department,data_system,cost_category,planned_costs,actual_costs,cost_optimization_strategy,satisfaction_level,employee_count,cost_deviation,cost_per_employee
257,2023-09-30 13:58:16,Финансы,CRM,Облачные сервисы,22368,27582,Переход на ПО с открытым исходным кодом,Доволен,123,5214,224.24
258,2024-10-15 14:44:15,Производство,BI-платформа,Лицензии на ПО,98601,118712,Оптимизация облачных ресурсов,Очень доволен,32,20111,3709.75
259,2023-10-18 15:43:08,Маркетинг,Data Lake,Облачные сервисы,56871,55582,Автоматизация рутинных задач,Недоволен,76,-1289,731.34
260,2024-12-03 13:39:59,Финансы,Data Lake,Лицензии на ПО,63452,66788,Повышение квалификации сотрудников,Нейтрально,497,3336,134.38
261,2024-08-05 17:11:46,Исследования и разработка,BI-платформа,Заработная плата персонала,61921,57463,Автоматизация рутинных задач,Доволен,16,-4458,3591.44
262,2024-10-13 00:38:16,Продажи,Data Lake,Обслуживание оборудования,71584,80300,Повышение квалификации сотрудников,Нейтрально,29,8716,2768.97
263,2023-07-17 11:48:20,ИТ,BI-платформа,Консалтинг,79959,86076,Оптимизация облачных ресурсов,Доволен,201,6117,428.24
264,2023-05-08 14:46:29,Финансы,Хранилище данных,Консалтинг,31154,38554,Оптимизация облачных ресурсов,Доволен,425,7400,90.72
265,2023-01-07 05:41:07,Продажи,Data Lake,Лицензии на ПО,12659,14617,Переход на ПО с открытым исходным кодом,Очень доволен,311,1958,47.0
266,2023-06-29 17:30:25,ИТ,Хранилище данных,Заработная плата персонала,37848,39752,Оптимизация облачных ресурсов,Недоволен,23,1904,1728.35
267,2024-07-08 14:25:31,Маркетинг,ETL-инструменты,Заработная плата персонала,12416,13713,Оптимизация облачных ресурсов,Недоволен,40,1297,342.82
268,2024-02-10 11:23:27,Маркетинг,ETL-инструменты,Облачные сервисы,77330,71258,Пересмотр лицензионных соглашений,Доволен,140,-6072,508.99
269,2023-09-10 10:46:37,Продажи,ETL-инструменты,Консалтинг,14602,16780,Централизация закупок ПО,Недоволен,469,2178,35.78
270,2024-09-12 20:04:14,Маркетинг,CRM,Заработная плата персонала,96846,100816,Пересмотр лицензионных соглашений,Очень недоволен,322,3970,313.09
271,2024-02-18 00:23:32,Маркетинг,Система управленческого учета,Облачные сервисы,61355,56300,Переход на ПО с открытым исходным кодом,Нейтрально,375,-5055,150.13
272,2023-03-24 04:29:15,Финансы,Хранилище данных,Лицензии на ПО,13630,16884,Повышение квалификации сотрудников,Недоволен,362,3254,46.64
273,2024-09-07 06:13:22,Логистика,Data Lake,Лицензии на ПО,97816,83308,Оптимизация облачных ресурсов,Доволен,75,-14508,1110.77
274,2024-07-02 12:51:58,Финансы,Система управленческого учета,Консалтинг,60460,73916,Повышение квалификации сотрудников,Доволен,89,13456,830.52
275,2023-01-06 16:57:00,Производство,BI-платформа,Облачные сервисы,22787,20362,Автоматизация рутинных задач,Очень недоволен,191,-2425,106.61
276,2024-01-27 19:58:28,ИТ,Система управленческого учета,Облачные сервисы,57726,62298,Переход на ПО с открытым исходным кодом,Очень недоволен,109,4572,571.54
277,2023-04-19 15:16:34,Продажи,Data Lake,Обслуживание оборудования,36286,35740,Пересмотр лицензионных соглашений,Очень доволен,427,-546,83.7
278,2024-04-07 15:10:10,Продажи,ERP,Лицензии на ПО,13048,11284,Оптимизация облачных ресурсов,Очень недоволен,342,-1764,32.99
279,2023-10-23 04:20:14,Логистика,Data Lake,Лицензии на ПО,81050,101252,Повышение квалификации сотрудников,Нейтрально,120,20202,843.77
280,2024-08-21 08:28:25,Продажи,CRM,Облачные сервисы,28575,28709,Централизация закупок ПО,Очень недоволен,156,134,184.03
281,2023-08-24 15:15:09,Производство,Data Lake,Лицензии на ПО,25561,24219,Переход на ПО с открытым исходным кодом,Доволен,73,-1342,331.77
282,2024-01-03 18:05:18,Финансы,Система управленческого учета,Заработная плата персонала,39796,46253,Повышение квалификации сотрудников,Нейтрально,394,6457,117.39
283,2023-10-10 13:44:40,ИТ,CRM,Заработная плата персонала,30474,27012,Автоматизация рутинных задач,Очень недоволен,132,-3462,204.64
284,2023-09-19 14:48:08,ИТ,ERP,Обслуживание оборудования,40599,35315,Повышение квалификации сотрудников,Очень доволен,385,-5284,91.73
285,2023-07-20 00:35:02,Финансы,ETL-инструменты,Облачные сервисы,35085,33115,Автоматизация рутинных задач,Очень доволен,10,-1970,3311.5
286,2023-08-09 17:49:08,Логистика,Система управленческого учета,Обслуживание оборудования,74864,93239,Переход на ПО с открытым исходным кодом,Очень недоволен,100,18375,932.39
287,2023-03-04 18:11:58,Логистика,BI-платформа,Облачные сервисы,61800,64267,Повышение квалификации сотрудников,Нейтрально,333,2467,192.99
288,2023-03-30 01:20:42,Продажи,CRM,Обучение сотрудников,71695,88594,Централизация закупок ПО,Нейтрально,195,16899,454.33
289,2023-02-21 16:11:23,HR,CRM,Лицензии на ПО,22334,24908,Оптимизация облачных ресурсов,Очень недоволен,69,2574,360.99
290,2023-11-06 20:49:36,ИТ,Хранилище данных,Лицензии на ПО,60044,72436,Переход на ПО с открытым исходным кодом,Нейтрально,309,12392,234.42
291,2024-05-24 17:58:27,ИТ,CRM,Обучение сотрудников,62094,70857,Централизация закупок ПО,Очень доволен,274,8763,258.6
292,2023-09-05 10:58:56,Производство,Система управленческого учета,Консалтинг,69013,85024,Автоматизация рутинных задач,Доволен,88,16011,966.18
293,2024-08-31 16:53:15,Продажи,ERP,Консалтинг,40146,35651,Повышение квалификации сотрудников,Очень недоволен,17,-4495,2097.12
294,2023-03-11 08:49:15,Логистика,Система управленческого учета,Лицензии на ПО,14611,16719,Оптимизация облачных ресурсов,Очень доволен,370,2108,45.19
295,2023-02-18 20:20:28,Логистика,Хранилище данных,Облачные сервисы,59041,67460,Повышение квалификации сотрудников,Недоволен,285,8419,236.7
296,2024-11-10 23:44:53,ИТ,CRM,Заработная плата персонала,40423,35593,Оптимизация облачных ресурсов,Очень недоволен,79,-4830,450.54
297,2023-06-24 02:35:49,Финансы,ERP,Лицензии на ПО,34987,40288,Оптимизация облачных ресурсов,Очень доволен,376,5301,107.15
298,2024-05-01 07:14:40,HR,ETL-инструменты,Заработная плата персонала,31961,38002,Пересмотр лицензионных соглашений,Очень недоволен,149,6041,255.05
299,2024-01-28 02:09:28,Маркетинг,Система управленческого учета,Лицензии на ПО,41972,45269,Пересмотр лицензионных соглашений,Очень недоволен,467,3297,96.94
300,2024-08-26 17:24:04,ИТ,BI-платформа,Лицензии на ПО,27394,25959,Автоматизация рутинных задач,Очень доволен,486,-1435,53.41
301,2023-09-25 12:16:02,Производство,Хранилище данных,Обучение сотрудников,27875,28599,Пересмотр лицензионных соглашений,Недоволен,147,724,194.55
302,2023-02-18 02:25:06,Финансы,ERP,Облачные сервисы,52896,64423,Переход на ПО с открытым исходным кодом,Доволен,248,11527,259.77
303,2024-01-10 04:19:07,Логистика,ETL-инструменты,Заработная плата персонала,73519,83810,Пересмотр лицензионных соглашений,Недоволен,36,10291,2328.06
304,2023-10-29 14:31:29,Исследования и разработка,Хранилище данных,Обслуживание оборудования,75935,73488,Оптимизация облачных ресурсов,Очень недоволен,142,-2447,517.52
305,2023-12-14 02:49:17,Исследования и разработка,ERP,Обучение сотрудников,16682,18628,Автоматизация рутинных задач,Нейтрально,135,1946,137.99
306,2024-02-05 10:14:40,ИТ,Система управленческого учета,Обучение сотрудников,67402,59186,Повышение квалификации сотрудников,Доволен,344,-8216,172.05
307,2024-08-27 13:05:47,ИТ,BI-платформа,Лицензии на ПО,36355,39644,Оптимизация облачных ресурсов,Недоволен,461,3289,86.0
308,2024-01-25 03:05:03,Исследования и разработка,ERP,Обучение сотрудников,90772,84459,Повышение квалификации сотрудников,Нейтрально,23,-6313,3672.13
309,2024-05-19 18:35:41,Маркетинг,ERP,Консалтинг,12876,11805,Автоматизация рутинных задач,Очень доволен,36,-1071,327.92
310,2024-08-06 09:58:42,Исследования и разработка,Data Lake,Консалтинг,92772,88278,Автоматизация рутинных задач,Недоволен,87,-4494,1014.69
311,2024-10-07 04:43:04,Продажи,ETL-инструменты,Обучение сотрудников,21372,20428,Повышение квалификации сотрудников,Недоволен,100,-944,204.28
312,2024-10-21 02:29:00,Продажи,ERP,Лицензии на ПО,9001,9253,Пересмотр лицензионных соглашений,Очень недоволен,105,252,88.12
313,2023-10-07 21:22:39,ИТ,ETL-инструменты,Обучение сотрудников,69204,78374,Пересмотр лицензионных соглашений,Очень недоволен,183,9170,428.27
314,2024-06-29 18:46:34,Финансы,Data Lake,Облачные сервисы,54811,68151,Оптимизация облачных ресурсов,Очень доволен,404,13340,168.69
315,2024-03-09 14:04:21,ИТ,ERP,Заработная плата персонала,19663,22948,Переход на ПО с открытым исходным кодом,Доволен,233,3285,98.49
316,2024-06-16 02:49:59,ИТ,Система управленческого учета,Заработная плата персонала,46413,52270,Пересмотр лицензионных соглашений,Нейтрально,348,5857,150.2
317,2024-02-19 08:00:14,HR,CRM,Лицензии на ПО,55415,67844,Переход на ПО с открытым исходным кодом,Доволен,60,12429,1130.73
318,2023-11-08 02:11:23,Производство,ERP,Обучение сотрудников,95040,96068,Переход на ПО с открытым исходным кодом,Очень недоволен,106,1028,906.3
319,2023-12-27 11:51:33,Продажи,Система управленческого учета,Заработная плата персонала,25365,23049,Автоматизация рутинных задач,Нейтрально,66,-2316,349.23
320,2024-09-25 15:08:47,ИТ,Хранилище данных,Лицензии на ПО,53663,50576,Автоматизация рутинных задач,Нейтрально,418,-3087,121.0
321,2024-10-12 19:36:26,Финансы,BI-платформа,Консалтинг,41366,41742,Централизация закупок ПО,Доволен,402,376,103.84
322,2023-08-05 01:59:11,HR,ERP,Обучение сотрудников,40399,35563,Повышение квалификации сотрудников,Очень доволен,207,-4836,171.8
323,2023-06-01 22:37:57,Продажи,ETL-инструменты,Облачные сервисы,22412,19970,Переход на ПО с открытым исходным кодом,Доволен,497,-2442,40.18
324,2023-07-24 23:15:09,ИТ,Data Lake,Консалтинг,26139,26435,Оптимизация облачных ресурсов,Нейтрально,317,296,83.39
325,2023-01-20 05:05:28,Финансы,BI-платформа,Заработная плата персонала,81281,83629,Автоматизация рутинных задач,Очень доволен,206,2348,405.97
326,2024-09-25 06:48:03,Маркетинг,BI-платформа,Обслуживание оборудования,15362,16151,Переход на ПО с открытым исходным кодом,Очень доволен,63,789,256.37
327,2024-04-02 02:55:08,Производство,Система управленческого учета,Заработная плата персонала,12415,12285,Автоматизация рутинных задач,Очень недоволен,127,-130,96.73
328,2024-12-23 22:18:27,Исследования и разработка,Система управленческого учета,Консалтинг,28907,35541,Централизация закупок ПО,Нейтрально,28,6634,1269.32
329,2023-11-21 00:57:32,ИТ,BI-платформа,Заработная плата персонала,53219,63098,Пересмотр лицензионных соглашений,Недоволен,166,9879,380.11
330,2023-10-27 05:19:55,Производство,Система управленческого учета,Обслуживание оборудования,11960,12901,Оптимизация облачных ресурсов,Очень доволен,39,941,330.79
331,2024-09-29 11:15:54,Маркетинг,Хранилище данных,Консалтинг,96641,91828,Переход на ПО с открытым исходным кодом,Недоволен,24,-4813,3826.17
332,2024-01-31 07:16:03,Исследования и разработка,CRM,Облачные сервисы,10498,12129,Переход на ПО с открытым исходным кодом,Очень недоволен,395,1631,30.71
333,2023-12-03 02:36:29,Продажи,BI-платформа,Заработная плата персонала,41309,35952,Оптимизация облачных ресурсов,Очень недоволен,163,-5357,220.56
334,2024-02-10 01:09:43,Производство,ETL-инструменты,Обучение сотрудников,54670,52568,Оптимизация облачных ресурсов,Доволен,209,-2102,251.52
335,2024-04-04 17:31:45,Логистика,Хранилище данных,Обслуживание оборудования,89325,109039,Оптимизация облачных ресурсов,Недоволен,409,19714,266.6
336,2024-04-05 10:56:27,Маркетинг,Хранилище данных,Консалтинг,56051,66818,Повышение квалификации сотрудников,Очень доволен,418,10767,159.85
337,2024-02-15 04:05:07,Продажи,Data Lake,Лицензии на ПО,32014,35967,Автоматизация рутинных задач,Очень доволен,397,3953,90.6
338,2023-03-06 11:36:30,HR,ETL-инструменты,Обучение сотрудников,52556,51968,Автоматизация рутинных задач,Доволен,384,-588,135.33
339,2024-08-31 14:37:53,Логистика,CRM,Облачные сервисы,80329,95260,Повышение квалификации сотрудников,Очень недоволен,452,14931,210.75
340,2023-02-16 07:26:06,Маркетинг,ERP,Обучение сотрудников,6783,6125,Пересмотр лицензионных соглашений,Очень доволен,71,-658,86.27
341,2024-11-02 00:54:10,Финансы,ERP,Заработная плата персонала,87405,83398,Пересмотр лицензионных соглашений,Очень недоволен,311,-4007,268.16
342,2023-07-13 20:56:24,Маркетинг,ETL-инструменты,Обслуживание оборудования,66178,63057,Переход на ПО с открытым исходным кодом,Очень доволен,224,-3121,281.5
343,2023-03-28 08:24:04,Исследования и разработка,CRM,Обслуживание оборудования,26140,29050,Централизация закупок ПО,Очень доволен,165,2910,176.06
344,2024-09-26 22:25:04,Продажи,BI-платформа,Обслуживание оборудования,21893,23743,Переход на ПО с открытым исходным кодом,Очень недоволен,450,1850,52.76
345,2023-08-05 05:07:35,HR,CRM,Облачные сервисы,71011,62021,Централизация закупок ПО,Доволен,108,-8990,574.27
346,2024-01-09 03:44:40,Логистика,Хранилище данных,Облачные сервисы,60626,71210,Оптимизация облачных ресурсов,Доволен,127,10584,560.71
347,2023-10-19 15:52:47,ИТ,Data Lake,Обслуживание оборудования,35067,30999,Оптимизация облачных ресурсов,Очень доволен,236,-4068,131.35
348,2024-03-01 01:52:03,Продажи,Система управленческого учета,Обучение сотрудников,42281,51370,Переход на ПО с открытым исходным кодом,Доволен,159,9089,323.08
349,2023-06-07 18:01:03,Производство,Система управленческого учета,Консалтинг,30017,35430,Централизация закупок ПО,Очень недоволен,46,5413,770.22
350,2023-01-21 07:21:30,Продажи,Data Lake,Обслуживание оборудования,42365,51400,Оптимизация облачных ресурсов,Нейтрально,286,9035,179.72
351,2024-02-08 22:45:24,ИТ,Data Lake,Консалтинг,39820,47137,Централизация закупок ПО,Доволен,209,7317,225.54
352,2024-08-01 03:45:12,Финансы,Data Lake,Облачные сервисы,15861,18309,Централизация закупок ПО,Нейтрально,492,2448,37.21
353,2024-10-18 19:36:56,Маркетинг,ETL-инструменты,Обслуживание оборудования,57422,70857,Повышение квалификации сотрудников,Очень недоволен,304,13435,233.08
354,2023-05-26 21:25:45,Производство,Система управленческого учета,Консалтинг,25598,29284,Централизация закупок ПО,Недоволен,133,3686,220.18
355,2024-08-04 01:07:26,Производство,BI-платформа,Обучение сотрудников,78269,73034,Переход на ПО с открытым исходным кодом,Нейтрально,439,-5235,166.36
356,2023-08-25 03:32:12,Финансы,CRM,Обслуживание оборудования,40336,41524,Централизация закупок ПО,Очень недоволен,397,1188,104.59
357,2023-06-12 09:45:43,Логистика,ETL-инструменты,Лицензии на ПО,76876,94328,Пересмотр лицензионных соглашений,Доволен,369,17452,255.63
358,2023-10-23 06:45:12,Логистика,Data Lake,Консалтинг,13567,14628,Повышение квалификации сотрудников,Очень доволен,353,1061,41.44
359,2024-08-20 16:22:37,ИТ,ETL-инструменты,Обслуживание оборудования,94327,88939,Оптимизация облачных ресурсов,Доволен,151,-5388,589.0
360,2023-05-31 22:23:32,HR,BI-платформа,Лицензии на ПО,23338,22981,Пересмотр лицензионных соглашений,Доволен,50,-357,459.62
361,2023-11-29 10:24:03,Исследования и разработка,CRM,Заработная плата персонала,9185,11064,Автоматизация рутинных задач,Нейтрально,214,1879,51.7
362,2023-07-29 14:12:27,Финансы,CRM,Заработная плата персонала,95227,81709,Повышение квалификации сотрудников,Доволен,262,-13518,311.87
363,2023-12-27 22:04:42,ИТ,CRM,Консалтинг,65268,76363,Переход на ПО с открытым исходным кодом,Очень доволен,186,11095,410.55
364,2024-08-04 17:04:54,ИТ,Data Lake,Обслуживание оборудования,98305,115724,Переход на ПО с открытым исходным кодом,Очень недоволен,150,17419,771.49
365,2024-01-21 11:20:52,Исследования и разработка,ERP,Облачные сервисы,37911,44392,Переход на ПО с открытым исходным кодом,Доволен,251,6481,176.86
366,2023-04-26 14:05:08,Финансы,ERP,Обучение сотрудников,8729,9183,Повышение квалификации сотрудников,Нейтрально,408,454,22.51
367,2024-10-17 09:49:46,Маркетинг,ETL-инструменты,Лицензии на ПО,96367,88378,Оптимизация облачных ресурсов,Недоволен,192,-7989,460.3
368,2024-11-21 18:16:13,Финансы,Data Lake,Обслуживание оборудования,8952,10112,Повышение квалификации сотрудников,Доволен,109,1160,92.77
369,2024-09-26 04:44:50,Продажи,Data Lake,Консалтинг,20406,24834,Автоматизация рутинных задач,Недоволен,344,4428,72.19
370,2023-05-03 00:30:36,Продажи,Хранилище данных,Лицензии на ПО,97610,102627,Повышение квалификации сотрудников,Недоволен,128,5017,801.77
371,2023-07-24 08:34:18,Логистика,CRM,Обслуживание оборудования,72691,89784,Централизация закупок ПО,Недоволен,178,17093,504.4
372,2024-07-23 02:40:24,Финансы,ETL-инструменты,Лицензии на ПО,99557,124108,Переход на ПО с открытым исходным кодом,Очень доволен,453,24551,273.97
373,2024-09-09 06:06:41,Продажи,ERP,Облачные сервисы,72122,75737,Централизация закупок ПО,Нейтрально,113,3615,670.24
374,2024-02-09 05:13:47,Производство,ERP,Лицензии на ПО,49864,47197,Пересмотр лицензионных соглашений,Очень недоволен,41,-2667,1151.15
375,2023-03-30 21:06:09,ИТ,ETL-инструменты,Лицензии на ПО,92249,95635,Оптимизация облачных ресурсов,Очень доволен,91,3386,1050.93
376,2023-10-21 08:58:27,Логистика,ETL-инструменты,Консалтинг,96946,118035,Пересмотр лицензионных соглашений,Недоволен,283,21089,417.08
377,2024-03-09 15:14:34,Производство,Система управленческого учета,Консалтинг,29497,26640,Автоматизация рутинных задач,Недоволен,171,-2857,155.79
378,2023-09-21 16:07:56,Логистика,ERP,Заработная плата персонала,17942,22169,Повышение квалификации сотрудников,Нейтрально,366,4227,60.57
379,2023-09-29 16:43:33,Маркетинг,Система управленческого учета,Облачные сервисы,21603,21197,Оптимизация облачных ресурсов,Очень доволен,88,-406,240.88
380,2024-06-10 15:23:04,Логистика,Система управленческого учета,Консалтинг,99579,108274,Переход на ПО с открытым исходным кодом,Доволен,466,8695,232.35
381,2023-12-18 02:57:14,ИТ,ETL-инструменты,Обучение сотрудников,61850,64334,Пересмотр лицензионных соглашений,Недоволен,342,2484,188.11
382,2023-06-30 21:05:04,Логистика,Data Lake,Заработная плата персонала,33433,36226,Пересмотр лицензионных соглашений,Очень доволен,269,2793,134.67
383,2023-12-22 21:10:53,Маркетинг,ETL-инструменты,Лицензии на ПО,64745,61060,Переход на ПО с открытым исходным кодом,Очень недоволен,396,-3685,154.19
384,2024-03-17 15:05:24,Продажи,Data Lake,Обучение сотрудников,43029,37323,Автоматизация рутинных задач,Нейтрально,372,-5706,100.33
385,2024-04-21 02:49:27,Маркетинг,Система управленческого учета,Заработная плата персонала,79993,99850,Централизация закупок ПО,Очень недоволен,470,19857,212.45
386,2023-08-17 07:49:46,Продажи,BI-платформа,Лицензии на ПО,90008,81753,Повышение квалификации сотрудников,Нейтрально,182,-8255,449.19
387,2023-09-24 08:28:54,Исследования и разработка,ETL-инструменты,Заработная плата персонала,36098,43795,Автоматизация рутинных задач,Очень недоволен,88,7697,497.67
388,2024-06-02 07:31:44,ИТ,ERP,Обслуживание оборудования,47594,53092,Повышение квалификации сотрудников,Очень недоволен,436,5498,121.77
389,2023-06-02 14:10:55,HR,CRM,Консалтинг,13053,15118,Переход на ПО с открытым исходным кодом,Недоволен,152,2065,99.46
390,2024-02-27 04:38:53,ИТ,Хранилище данных,Лицензии на ПО,7353,7589,Пересмотр лицензионных соглашений,Недоволен,452,236,16.79
391,2024-06-04 13:27:37,Маркетинг,CRM,Лицензии на ПО,86078,101625,Централизация закупок ПО,Нейтрально,423,15547,240.25
392,2024-05-03 22:34:41,Продажи,CRM,Обслуживание оборудования,84491,84491,Централизация закупок ПО,Недоволен,227,0,372.21
393,2024-09-23 00:35:27,Исследования и разработка,Система управленческого учета,Консалтинг,46561,57792,Автоматизация рутинных задач,Очень недоволен,254,11231,227.53
394,2024-06-07 12:13:26,ИТ,Система управленческого учета,Консалтинг,10964,12911,Оптимизация облачных ресурсов,Недоволен,104,1947,124.14
395,2024-04-28 23:20:18,Маркетинг,ERP,Обслуживание оборудования,7094,8261,Оптимизация облачных ресурсов,Очень доволен,114,1167,72.46
396,2023-06-12 11:47:04,Финансы,Система управленческого учета,Обучение сотрудников,14757,17463,Оптимизация облачных ресурсов,Очень недоволен,497,2706,35.14
397,2023-10-11 07:57:01,Маркетинг,Хранилище данных,Облачные сервисы,15383,17391,Пересмотр лицензионных соглашений,Нейтрально,146,2008,119.12
398,2024-08-08 01:59:09,Продажи,Система управленческого учета,Заработная плата персонала,37030,40999,Оптимизация облачных ресурсов,Очень недоволен,419,3969,97.85
399,2024-01-24 18:03:02,Маркетинг,ERP,Обслуживание оборудования,61697,65529,Пересмотр лицензионных соглашений,Доволен,148,3832,442.76
400,2024-03-15 21:05:49,Маркетинг,Система управленческого учета,Обслуживание оборудования,68589,71252,Повышение квалификации сотрудников,Недоволен,41,2663,1737.85
401,2023-06-02 19:56:09,ИТ,ETL-инструменты,Лицензии на ПО,93484,109661,Автоматизация рутинных задач,Очень доволен,100,16177,1096.61
402,2024-05-02 01:26:47,Маркетинг,BI-платформа,Обслуживание оборудования,83706,99880,Повышение квалификации сотрудников,Очень доволен,213,16174,468.92
403,2024-02-24 17:30:35,Логистика,BI-платформа,Лицензии на ПО,85680,92316,Автоматизация рутинных задач,Очень доволен,151,6636,611.36
404,2023-10-04 23:07:51,ИТ,ETL-инструменты,Облачные сервисы,88424,98852,Переход на ПО с открытым исходным кодом,Очень недоволен,489,10428,202.15
405,2023-03-14 01:11:40,Маркетинг,ETL-инструменты,Облачные сервисы,56789,58470,Автоматизация рутинных задач,Очень недоволен,355,1681,164.7
406,2024-12-20 17:14:24,Производство,BI-платформа,Заработная плата персонала,54815,62847,Централизация закупок ПО,Очень недоволен,275,8032,228.53
407,2023-01-01 05:01:19,Маркетинг,ETL-инструменты,Лицензии на ПО,32025,35475,Автоматизация рутинных задач,Очень недоволен,292,3450,121.49
408,2023-05-27 09:17:29,Продажи,ERP,Консалтинг,84307,99943,Пересмотр лицензионных соглашений,Недоволен,15,15636,6662.87
409,2023-05-18 01:30:00,Продажи,Data Lake,Обучение сотрудников,73535,63481,Централизация закупок ПО,Доволен,267,-10054,237.76
410,2023-12-30 17:53:43,Продажи,CRM,Обучение сотрудников,6029,7150,Пересмотр лицензионных соглашений,Очень доволен,332,1121,21.54
411,2023-05-21 10:23:56,Продажи,CRM,Заработная плата персонала,22982,24122,Автоматизация рутинных задач,Недоволен,319,1140,75.62
412,2024-07-25 18:13:37,Производство,Data Lake,Консалтинг,75642,90180,Централизация закупок ПО,Доволен,24,14538,3757.5
413,2023-06-09 12:12:52,Логистика,CRM,Обслуживание оборудования,11384,13515,Автоматизация рутинных задач,Доволен,458,2131,29.51
414,2023-12-27 17:47:21,Продажи,BI-платформа,Обучение сотрудников,25259,26259,Оптимизация облачных ресурсов,Очень недоволен,414,1000,63.43
415,2023-10-15 06:33:24,ИТ,ERP,Обслуживание оборудования,66004,72524,Переход на ПО с открытым исходным кодом,Очень недоволен,106,6520,684.19
416,2024-05-04 02:25:58,Исследования и разработка,CRM,Обслуживание оборудования,95815,101881,Централизация закупок ПО,Доволен,478,6066,213.14
417,2023-12-14 22:44:06,Продажи,Хранилище данных,Обслуживание оборудования,45663,43390,Автоматизация рутинных задач,Нейтрально,386,-2273,112.41
418,2023-04-24 10:41:46,Маркетинг,ERP,Консалтинг,25256,30656,Переход на ПО с открытым исходным кодом,Недоволен,465,5400,65.93
419,2023-01-06 22:19:21,Маркетинг,ERP,Обучение сотрудников,48694,47554,Автоматизация рутинных задач,Нейтрально,168,-1140,283.06
420,2023-07-02 19:32:17,HR,ERP,Консалтинг,36979,34765,Пересмотр лицензионных соглашений,Доволен,273,-2214,127.34
421,2023-07-02 19:25:44,Производство,Система управленческого учета,Лицензии на ПО,65897,62323,Переход на ПО с открытым исходным кодом,Нейтрально,82,-3574,760.04
422,2024-08-12 09:07:26,Производство,Data Lake,Обучение сотрудников,70772,74928,Централизация закупок ПО,Доволен,246,4156,304.59
423,2024-09-30 19:35:56,HR,BI-платформа,Обслуживание оборудования,20662,20195,Автоматизация рутинных задач,Нейтрально,488,-467,41.38
424,2024-03-25 01:52:12,ИТ,ETL-инструменты,Лицензии на ПО,73326,75405,Пересмотр лицензионных соглашений,Нейтрально,481,2079,156.77
425,2023-09-27 23:05:13,Финансы,Data Lake,Лицензии на ПО,49640,49431,Повышение квалификации сотрудников,Недоволен,284,-209,174.05
426,2024-05-19 12:52:33,ИТ,Хранилище данных,Облачные сервисы,81483,73853,Автоматизация рутинных задач,Нейтрально,408,-7630,181.01
427,2024-11-02 12:43:03,Маркетинг,BI-платформа,Облачные сервисы,65131,78385,Переход на ПО с открытым исходным кодом,Нейтрально,14,13254,5598.93
428,2024-02-28 02:53:19,Исследования и разработка,ETL-инструменты,Заработная плата персонала,7913,8082,Повышение квалификации сотрудников,Доволен,415,169,19.47
429,2024-05-23 13:49:52,Исследования и разработка,BI-платформа,Обучение сотрудников,20381,21051,Централизация закупок ПО,Доволен,264,670,79.74
430,2024-08-20 18:48:43,Финансы,BI-платформа,Обучение сотрудников,51218,57991,Оптимизация облачных ресурсов,Недоволен,207,6773,280.15
431,2024-09-30 09:24:54,Логистика,ERP,Консалтинг,53904,46501,Переход на ПО с открытым исходным кодом,Нейтрально,205,-7403,226.83
432,2023-01-16 16:43:23,Продажи,Система управленческого учета,Обслуживание оборудования,44908,55079,Повышение квалификации сотрудников,Очень недоволен,179,10171,307.7
433,2023-09-20 09:13:52,Производство,BI-платформа,Заработная плата персонала,30588,36232,Пересмотр лицензионных соглашений,Очень недоволен,347,5644,104.41
434,2024-06-26 10:08:11,ИТ,Хранилище данных,Заработная плата персонала,21359,26541,Оптимизация облачных ресурсов,Недоволен,332,5182,79.94
435,2024-09-07 01:18:55,Продажи,BI-платформа,Консалтинг,76218,83101,Пересмотр лицензионных соглашений,Очень недоволен,470,6883,176.81
436,2023-06-09 10:41:34,Производство,Data Lake,Консалтинг,9200,10456,Переход на ПО с открытым исходным кодом,Очень доволен,476,1256,21.97
437,2024-12-20 00:31:48,Исследования и разработка,Система управленческого учета,Обучение сотрудников,5561,5365,Централизация закупок ПО,Нейтрально,150,-196,35.77
438,2023-01-18 07:40:19,Исследования и разработка,Data Lake,Консалтинг,41925,40907,Автоматизация рутинных задач,Очень доволен,79,-1018,517.81
439,2023-06-05 13:56:40,Продажи,Система управленческого учета,Лицензии на ПО,24298,21053,Оптимизация облачных ресурсов,Нейтрально,482,-3245,43.68
440,2024-04-10 04:12:18,Маркетинг,CRM,Облачные сервисы,94579,86690,Повышение квалификации сотрудников,Недоволен,170,-7889,509.94
441,2023-05-16 15:32:28,HR,BI-платформа,Заработная плата персонала,92944,111175,Оптимизация облачных ресурсов,Недоволен,281,18231,395.64
442,2024-04-15 23:46:03,ИТ,Хранилище данных,Обучение сотрудников,54310,61905,Переход на ПО с открытым исходным кодом,Недоволен,308,7595,200.99
443,2024-12-12 00:02:02,HR,Хранилище данных,Консалтинг,38873,36803,Централизация закупок ПО,Доволен,346,-2070,106.37
444,2023-04-14 22:43:59,Маркетинг,BI-платформа,Облачные сервисы,71541,66283,Автоматизация рутинных задач,Очень недоволен,450,-5258,147.3
445,2024-07-16 13:33:35,Финансы,BI-платформа,Обучение сотрудников,16212,19177,Пересмотр лицензионных соглашений,Очень недоволен,72,2965,266.35
446,2024-12-14 00:05:55,Продажи,BI-платформа,Консалтинг,96896,93494,Пересмотр лицензионных соглашений,Нейтрально,183,-3402,510.9
